name,processor,count,duration_seconds,pts_per_sec
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,4.4492228577534355e-05,22475.83526317075
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,0.00011972077966974707,83527.68857323904
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,14,6.761890836060047e-05,207042.67991639723
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,19,0.00017093789453306667,111151.48020221222
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,27,0.00017945757523795165,150453.3869032799
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,39,0.0002313605509697968,168568.06329567955
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,55,0.00022323179291553334,246380.6758063846
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,78,0.0007255777736297667,107500.5365858964
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,110,0.0002931469934992,375238.36996233836
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,155,0.0007990657798428334,193976.5209698839
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,218,0.0008551655602641333,254921.39783162778
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,308,0.0008869169985151001,347270.3765015912
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,434,0.0009784522253192,443557.68096742424
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,612,0.0010997042221845,556513.276619323
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,863,0.0019507115500358,442402.6709557146
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1216,0.0028442849955625,427523.9653892411
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1714,0.003859780776780067,444066.67091333226
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2415,0.004983974223076867,484553.0678746357
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3403,0.006920786669736501,491707.1082223612
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4795,0.010079166224847233,475733.7951406468
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6757,0.013931545994554933,485014.3697362041
